Station_ID,Date,Latitude,Longitude,SMAP_Moisture
TXS03,2017-11-29,30.29815,-98.74201,0.1377488
TXS03,2017-12-01,30.29815,-98.74201,0.1300915
TXS03,2017-12-04,30.29815,-98.74201,0.1301565
TXS03,2017-12-07,30.29815,-98.74201,0.3075202
TXS03,2017-12-09,30.29815,-98.74201,0.2545336
TXS03,2017-12-12,30.29815,-98.74201,0.2479551
TXS03,2017-12-15,30.29815,-98.74201,0.23213
TXS03,2017-12-17,30.29815,-98.74201,0.2298019
TXS03,2017-12-20,30.29815,-98.74201,0.2577512
TXS03,2017-12-23,30.29815,-98.74201,0.2614769
TXS03,2017-12-25,30.29815,-98.74201,0.2505806
TXS03,2017-12-28,30.29815,-98.74201,0.2402342
TXS03,2017-12-31,30.29815,-98.74201,0.2280384
TXS03,2018-01-02,30.29815,-98.74201,0.2150052
TXS03,2018-01-05,30.29815,-98.74201,0.2172533
TXS03,2018-01-08,30.29815,-98.74201,0.2085917
TXS03,2018-01-10,30.29815,-98.74201,0.1988417
TXS03,2018-01-13,30.29815,-98.74201,0.1871012
TXS03,2018-01-18,30.29815,-98.74201,0.1709287
TXS03,2018-01-24,30.29815,-98.74201,0.170296
TXS03,2018-01-26,30.29815,-98.74201,0.1500384
TXS03,2018-01-29,30.29815,-98.74201,0.195175
TXS03,2018-02-01,30.29815,-98.74201,0.1554139
TXS03,2018-02-03,30.29815,-98.74201,0.1475708
TXS03,2018-02-06,30.29815,-98.74201,0.124523
TXS03,2018-02-09,30.29815,-98.74201,0.1791333
TXS03,2018-02-11,30.29815,-98.74201,0.173573
TXS03,2018-02-14,30.29815,-98.74201,0.141866
TXS03,2018-02-17,30.29815,-98.74201,0.1566668
TXS03,2018-02-19,30.29815,-98.74201,0.1670967
TXS03,2018-02-22,30.29815,-98.74201,0.3122292
TXS03,2018-02-25,30.29815,-98.74201,0.2751686
TXS03,2018-02-27,30.29815,-98.74201,0.2255203
TXS03,2018-03-02,30.29815,-98.74201,0.2611795
TXS03,2018-03-05,30.29815,-98.74201,0.2327279
TXS03,2018-03-07,30.29815,-98.74201,0.2265697
TXS03,2018-03-10,30.29815,-98.74201,0.1661105
TXS03,2018-03-13,30.29815,-98.74201,0.1516026
TXS03,2018-03-15,30.29815,-98.74201,0.1455956
TXS03,2018-03-18,30.29815,-98.74201,0.136776
TXS03,2018-03-21,30.29815,-98.74201,0.1427813
TXS03,2018-03-23,30.29815,-98.74201,0.1161898
TXS03,2018-03-26,30.29815,-98.74201,0.1320421
